GEOID,CONCELHO_DSG,Indice_Volumetria_2011,Percentagem_Vagos_2011,Idade_Media_Edif_2011,Percentagem_Alojamento_Habitual_2011,Dimensao_Alojamento_2011,Alojamento_Por_Familia_2011,Percentagem_Arrendamento_2011,Numero_Divisoes_2011,Indicador_Acessibilidade_Economica_2011,Alojamento_Por_Familias_2021_2011,Preco_Total_2016,Rendimento_2016,Construcao_2011,Arrendamento_2017,Numero_Alojamentos_Familiares_2011,Numero_Familias_2011
101,Águeda,1.727331467,0.125995275,36.09845466,0.759952752,144.4095441,1.309688879,0.083475746,5.628263501,0.05547184,0.681093394,589,10618,103,3.02,22821,17453
102,Albergaria-a-Velha,1.709911243,0.141594356,38.2066075,0.740167059,136.9124753,1.334379396,0.07365002,5.345486492,0.057720232,0.506053269,596.25,10330,70,3.31,12315,9241
103,Anadia,1.625491254,0.151066233,37.80226555,0.715538431,148.8936408,1.386989772,0.062487509,5.996931945,0.050582705,1.571428571,516.5,10211,79,3.02,15011,10853
104,Arouca,1.652152102,0.092678838,34.21365506,0.691318927,128.5902459,1.438370847,0.057769482,5.500540394,0.066989943,3.215827338,559.5,8352,93,3.13,10715,7464
105,Aveiro,2.003155542,0.121871466,35.71935399,0.752642966,134.4690019,1.306081819,0.166231205,5.241627892,0.062859476,0.937602627,885.25,14083,146,4.48,40570,31142
106,Castelo de Paiva,1.671615654,0.124074822,37.81886706,0.746198358,115.4089186,1.332914798,0.095109794,5.152554613,0.058882689,6.545454545,453.75,7706,55,2.6,7423,5575
107,Espinho,1.93120711,0.115984282,40.7357408,0.756369629,115.4220099,1.312973288,0.226199543,5.004861286,0.069854505,0.56964657,821,11753,22,4.49,15756,12017
108,Estarreja,1.594893122,0.138854296,38.75064842,0.736534869,138.0472808,1.336662505,0.088556283,5.475458497,0.053310567,0.948113208,562,10542,52,3.12,12828,9612
109,Santa Maria da Feira,1.843388136,0.085015028,33.63240925,0.802721538,132.4654743,1.236729776,0.117300066,5.188301397,0.063106061,0.99101348,624.75,9900,184,3.31,60520,48963
110,Ílhavo,1.732342378,0.10722897,34.17966879,0.65579364,136.9345859,1.505857368,0.097153268,5.463535143,0.07180038,0.62890625,869,12103,66,3.91,21955,14597
111,Mealhada,1.707137776,0.128724555,35.30631966,0.747762809,147.859589,1.313484888,0.069645852,5.866833509,0.056678019,-3.023529412,615.75,10864,39,2.93,10137,7742
112,Murtosa,1.624379812,0.048420778,40.10547476,0.498303315,134.1842105,1.996872557,0.038154972,5.450263158,0.070783937,0.693023256,662.75,9363,17,3.13,7653,3837
113,Oliveira de Azeméis,1.770420407,0.118669464,37.02346458,0.803016682,135.255373,1.239905871,0.136293977,5.322504356,0.053723557,0.877266388,561.25,10447,96,2.85,30016,24222
114,Oliveira do Bairro,1.73849812,0.133610032,34.15881442,0.739579654,154.1013052,1.342819874,0.069779782,5.550951982,0.057437082,0.665454545,584.25,10172,77,2.82,11307,8433
115,Ovar,1.715988265,0.108061441,37.34226518,0.699413648,127.1911734,1.424859047,0.111399244,5.243864714,0.065782325,0.590489709,726.5,11044,109,3.72,27765,19510
116,São João da Madeira,2.799911006,0.118500143,40.21729457,0.783417613,125.0365497,1.263989387,0.213951266,4.978435673,0.051028897,0.187586207,582.75,11420,13,3.52,10465,8292
117,Sever do Vouga,1.697995374,0.175505586,38.38365459,0.648988828,135.5507088,1.538511749,0.034560907,5.659760087,0.045321637,-0.317241379,426.25,9405,32,2.54,7060,4596
118,Vagos,1.653984276,0.054562633,31.94918956,0.638532399,152.3741808,1.541009464,0.037670423,5.591195746,0.068085445,1.324435318,642.25,9433,94,2.93,12689,8242
119,Vale de Cambra,1.83150642,0.081265823,36.03695584,0.713080169,130.6420118,1.395924137,0.081348201,5.371952663,0.064845502,-1.465517241,665.25,10259,44,2.8,11838,8489
201,Aljustrel,1.565327543,0.156583018,40.51221498,0.64352011,118.4256287,1.549813532,0.034268986,4.985286249,0.041670341,-3.333333333,472.5,11339,18,,5807,3754
202,Almodôvar,1.564871846,0.137690472,46.81919332,0.561226363,119.8329512,1.77195836,0.043109801,4.839174582,0.049262668,-0.775510204,497.75,10104,23,3.33,5428,3074
203,Alvito,1.507361963,0.186059908,41.81319018,0.559331797,135.7624481,1.693658537,0.069605568,5.342323651,0.036658654,-0.301886792,381.25,10400,7,,1724,1025
204,Barrancos,1.515892421,0.082498072,48.51752241,0.541249036,98.32621083,1.79889043,0.045066045,5.269230769,0.026446459,0.057377049,245,9264,11,,1287,721
205,Beja,1.733185514,0.109402133,48.62091648,0.693723642,121.8761208,1.425187385,0.091686981,5.01405925,0.044208933,-0.256880734,584,13210,25,3.76,20101,14142
206,Castro Verde,1.534582441,0.132477748,47.6620985,0.59884082,123.4002075,1.656153582,0.051638324,5.137668627,0.028834609,-0.753246753,384.25,13326,18,3.43,4822,2917
207,Cuba,1.51082544,0.193040053,40.24610961,0.596520026,146.8141347,1.643820831,0.075197889,5.400111297,0.045504438,0.514705882,476.75,10477,26,,3032,1853
208,Ferreira do Alentejo,1.520521239,0.163139669,50.34660373,0.626587149,124.6593373,1.559088182,0.058244937,4.998761226,0.050890454,-0.428571429,491.5,9658,14,3.31,5185,3334
209,Mértola,1.5038305,0.184696881,51.67153459,0.36656857,100.152635,2.708001275,0.023025151,4.815552699,0.030067189,-0.804878049,268.5,8930,27,,8469,3137
210,Moura,1.518495621,0.118425995,46.82065945,0.544984974,117.2292607,1.825475741,0.057594579,5.136237418,0.04641428,0.507760532,440.75,9496,30,2.94,10626,5833
211,Odemira,1.542224511,0.162942183,40.00395685,0.517211868,102.6885701,1.851082556,0.061890652,4.721425266,0.092582387,37.72972973,840,9073,69,3.96,20924,11362
212,Ourique,1.52218301,0.164795797,48.8984119,0.549319322,118.3877996,1.814124783,0.054610778,4.991721133,0.039388346,-0.824817518,394.75,10022,22,,4175,2308
213,Serpa,1.518664752,0.078944835,58.73371962,0.583132762,119.0199336,1.696667756,0.036500579,5.231229236,0.037424828,-0.29638009,348.5,9312,36,,10356,6122
214,Vidigueira,1.514677902,0.160677618,50.75292199,0.592145791,144.3654267,1.660699062,0.05,5.133041575,0.036333999,0.022026432,345.5,9509,3,,3880,2346
