GEOID,CONCELHO_DSG,Indice_Volumetria_2011_2021,Percentagem_Vagos_2011_2021,Idade_Media_Edif_2011_2021,Percentagem_Alojamento_Habitual_2011_2021,Dimensao_Alojamento_2011_2021,Alojamento_Por_Familia_2011_2021,Percentagem_Arrendamento_2011_2021,Numero_Divisoes_2011_2021,Indicador_Acessibilidade_Economica_2011_2021,Preco_Total_2016_2022,Rendimento_2017_2021,Construcao_2011_2021,Arrendamento_2017_2022,Numero_Alojamentos_Familiares_2011_2021,Numero_Familias_2011_2021
101,Águeda,1.016063854,1.001712747,1.213891836,1.017808222,1.000290079,0.98664473,1.397956983,1.022050961,1.590471976,1.487266553,0.93511019,0.436893204,1.364238411,1.013101967,1.025153269
102,Albergaria-a-Velha,1.006674198,0.805265713,1.201355181,1.041009041,0.989834747,0.972201836,1.462500499,1.01261987,1.670995259,1.626834382,0.97357212,0.357142857,1.32326284,1.016971173,1.044692133
103,Anadia,1.003274934,1.027105131,1.208091486,1.010139216,1.011912759,0.996946646,1.416760652,1.014358192,1.581984,1.473378509,0.931348546,0.316455696,1.281456954,0.997801612,0.998065051
104,Arouca,1.006121529,1.089434991,1.239830529,0.984643059,1.020952621,1.020671894,1.073162782,0.994763209,1.378401367,1.45844504,1.058069923,0.268817204,1.169329073,1.041717219,1.018622722
105,Aveiro,1.02474064,0.895773011,1.196121088,1.032334006,0.971357306,0.981950588,1.258971353,1.03352199,2.206398205,1.822084157,0.825818363,0.54109589,1.535714286,1.042223318,1.058666752
106,Castelo de Paiva,1.011071358,1.041350621,1.205396481,0.983823532,1.023619395,1.021941688,0.988240601,1.05042622,1.841473069,2.020936639,1.097456527,0.436363636,1.219230769,1.029098747,1.005919283
107,Espinho,1.043081592,0.87455652,1.177279485,1.029806731,0.972082047,0.976870763,1.108114626,1.033389303,1.321021443,1.096224117,0.829830682,1.772727273,1.481069042,1.017390201,1.040026629
108,Estarreja,1.003017162,1.035855513,1.190808443,1.017890955,1.001430655,0.99220398,1.270584369,1.013820323,1.587871613,1.524911032,0.96034908,0.615384615,1.333333333,1.015668849,1.022055764
109,Santa Maria da Feira,1.01063012,1.093930828,1.250429107,1.015025483,0.999643996,0.991652229,1.2099281,1.019301142,1.893481753,1.800720288,0.951010101,0.652173913,1.416918429,1.032799075,1.040908441
110,Ílhavo,1.004916294,0.908277772,1.236047982,1.0473486,0.979617187,0.96071938,1.257534106,1.011422117,1.882445859,1.66858458,0.886391804,1.106060606,1.531969309,1.029332726,1.070151401
111,Mealhada,0.993260082,1.170435936,1.235400956,0.983628076,1.010738311,1.033472643,1.33720314,1.008310842,1.490446446,1.411287048,0.946888807,0.743589744,1.269624573,1.025352668,0.989020925
112,Murtosa,1.006994087,1.421466338,1.2074133,1.041215877,0.994425978,0.964242258,1.619160695,1.015599897,1.567888319,1.576763485,1.005660579,1.294117647,1.38658147,1.019469489,1.056033359
113,Oliveira de Azeméis,1.01619438,0.968480198,1.232251448,1.011603893,1.01074465,0.991041576,1.150182374,1.020364212,1.76808144,1.640979955,0.928113334,0.510416667,1.319298246,1.02095549,1.029601189
114,Oliveira do Bairro,1.006015229,0.928230359,1.235723857,1.019090865,1.008192248,0.982616038,1.575265325,1.026643151,1.601391415,1.57809157,0.985450256,0.558441558,1.570921986,1.016184664,1.032609985
115,Ovar,1.011163427,0.742015239,1.216680858,1.04479086,0.990363138,0.959417534,1.240235939,1.013624533,1.861028901,1.708189952,0.917873959,0.220183486,1.400537634,1.029965784,1.072219375
116,São João da Madeira,1.040225286,0.776137924,1.182026812,1.085368937,0.936846104,0.930125042,1.279045617,1.012954136,2.113904755,1.808665809,0.855604203,1.076923077,1.377840909,1.0129957,1.087433671
117,Sever do Vouga,1.017341237,0.946162779,1.179769824,0.964500272,1.023295337,1.037687994,1.33556032,0.994888468,1.139976608,1.142521994,1.002232855,0.75,1.303149606,1.006515581,0.968450827
118,Vagos,1.006216544,1.830831826,1.227122052,1.023350309,1.007749685,0.991267007,1.692224507,1.009096315,1.812723321,1.809264305,0.998091805,0.308510638,1.532423208,1.050831429,1.0590876
119,Vale de Cambra,1.021828308,1.484107655,1.236104944,0.989878346,1.004562897,1.013082091,1.203198716,1.027466296,1.623125703,1.548290116,0.953894142,0.295454545,1.375,1.007180267,0.993167629
